city,timestamp,id,type,sub_type,tag,x,y,z,length,width,height,theta,v_x,v_y,intersect_id
PEK,1653310741.9,2306405,VEHICLE,CAR,AGENT_4,417222.354338557,4731243.30287169,0,4.0,1.94011926651001,1.36743056774139,0.544810235500336,1.66486442089081,0.977789759635925,yizhuang#2-1_po
PEK,1653310742.0,2306405,VEHICLE,CAR,AGENT_4,417222.548878541,4731243.42664484,0,4.0,1.94011926651001,1.36743056774139,0.542890548706055,1.66636478900909,0.9752516746521,yizhuang#2-1_po
PEK,1653310742.1,2306405,VEHICLE,CAR,AGENT_4,417222.725193869,4731243.50494181,0,4.0,1.94011926651001,1.36743056774139,0.540683686733246,1.81127047538757,1.06856846809387,yizhuang#2-1_po
PEK,1653310742.2,2306405,VEHICLE,CAR,AGENT_4,417222.904986521,4731243.6214155,0,4.0,1.94011926651001,1.36743056774139,0.540304660797119,1.97581851482391,1.17532598972321,yizhuang#2-1_po
PEK,1653310742.3,2306405,VEHICLE,CAR,AGENT_4,417223.103261174,4731243.75482498,0,4.0,1.94011926651001,1.36743056774139,0.542738735675812,1.97041857242584,1.18425250053406,yizhuang#2-1_po
PEK,1653310742.4,2306405,VEHICLE,CAR,AGENT_4,417223.314003889,4731243.86615095,0,4.0,1.94011926651001,1.36743056774139,0.545628130435944,2.15399789810181,1.29607474803925,yizhuang#2-1_po
PEK,1653310742.5,2306405,VEHICLE,CAR,AGENT_4,417223.53100427,4731244.00017771,0,4.0,1.94011926651001,1.36743056774139,0.546274185180664,2.15012240409851,1.29637336730957,yizhuang#2-1_po
PEK,1653310742.6,2306405,VEHICLE,CAR,AGENT_4,417223.756582892,4731244.16808626,0,4.0,1.94011926651001,1.36743056774139,0.546318054199219,2.1695499420166,1.30227601528168,yizhuang#2-1_po
PEK,1653310742.7,2306405,VEHICLE,CAR,AGENT_4,417223.996876024,4731244.27788466,0,4.0,1.94011926651001,1.36743056774139,0.545851171016693,2.22374844551086,1.3355325460434,yizhuang#2-1_po
PEK,1653310742.8,2306405,VEHICLE,CAR,AGENT_4,417224.248033551,4731244.42918445,0,4.0,1.94011926651001,1.36743056774139,0.545527458190918,2.3180193901062,1.38770282268524,yizhuang#2-1_po
PEK,1653310742.9,2306405,VEHICLE,CAR,AGENT_4,417224.495262598,4731244.58582013,0,4.0,1.94011926651001,1.36743056774139,0.544533133506775,2.39944052696228,1.43153011798859,yizhuang#2-1_po
PEK,1653310743.0,2306405,VEHICLE,CAR,AGENT_4,417224.776029272,4731244.74616262,0,4.0,1.94011926651001,1.36743056774139,0.544224083423615,2.51846623420715,1.49986565113068,yizhuang#2-1_po
PEK,1653310743.1,2306405,VEHICLE,CAR,AGENT_4,417225.057018885,4731244.92197903,0,4.0,1.94011926651001,1.36743056774139,0.54383647441864,2.64565396308899,1.5764741897583,yizhuang#2-1_po
PEK,1653310743.2,2306405,VEHICLE,CAR,AGENT_4,417225.342682073,4731245.08477168,0,4.0,1.94011926651001,1.36743056774139,0.545398771762848,2.79015135765076,1.64733266830444,yizhuang#2-1_po
PEK,1653310743.3,2306405,VEHICLE,CAR,AGENT_4,417225.658503235,4731245.27350699,0,4.0,1.94011926651001,1.36743056774139,0.549358367919922,2.91116237640381,1.71349823474884,yizhuang#2-1_po
PEK,1653310743.4,2306405,VEHICLE,CAR,AGENT_4,417225.989667164,4731245.46465937,0,4.0,1.94011926651001,1.36743056774139,0.550314009189606,3.0385320186615,1.78452777862549,yizhuang#2-1_po
PEK,1653310743.5,2306405,VEHICLE,CAR,AGENT_4,417226.299095234,4731245.65243206,0,4.0,1.94011926651001,1.37729942798615,0.550130307674408,3.09681248664856,1.826096534729,yizhuang#2-1_po
PEK,1653310743.6,2306405,VEHICLE,CAR,AGENT_4,417226.615195088,4731245.84179345,0,4.0,1.94011926651001,1.37729942798615,0.550110340118408,3.15408444404602,1.86467659473419,yizhuang#2-1_po
PEK,1653310743.7,2306405,VEHICLE,CAR,AGENT_4,417226.940583339,4731246.04813262,0,4.0,1.94011926651001,1.37729942798615,0.548306167125702,3.19822120666504,1.89463174343109,yizhuang#2-1_po
PEK,1653310743.8,2306405,VEHICLE,CAR,AGENT_4,417227.269497657,4731246.23677911,0,4.0,1.94011926651001,1.37729942798615,0.547271430492401,3.26867866516113,1.94679021835327,yizhuang#2-1_po
PEK,1653310743.9,2306405,VEHICLE,CAR,AGENT_4,417227.590054153,4731246.43780845,0,4.0,1.94011926651001,1.37729942798615,0.54650616645813,3.26984834671021,1.9450421333313,yizhuang#2-1_po
PEK,1653310744.0,2306405,VEHICLE,CAR,AGENT_4,417227.923841115,4731246.62457896,0,4.0,1.94011926651001,1.37729942798615,0.547223031520844,3.29433917999268,1.95648097991943,yizhuang#2-1_po
